0.20224719101123595
18.0,5.0
23.0,0.0
7.0,7.0
3.0,11.0
1.0,1.0
22.0,9.0
1.0,1.0
8.0,5.0
15.0,3.0
6.0,14.0
21.0,11.0
6.0,6.0
1.0,1.0
1.0,1.0
3.0,14.0
13.0,8.0
8.0,3.0
1.0,9.0
1.0,15.0
12.0,15.0
1.0,10.0
13.0,16.0
3.0,7.0
1.0,1.0
13.0,5.0
21.0,13.0
1.0,1.0
9.0,15.0
11.0,10.0
1.0,1.0
1.0,1.0
7.0,1.0
18.0,0.0
15.0,1.0
13.0,3.0
0.0,22.0
20.0,16.0
22.0,17.0
1.0,12.0
13.0,20.0
1.0,3.0
7.0,7.0
3.0,3.0
3.0,4.0
18.0,1.0
3.0,8.0
1.0,1.0
3.0,1.0
18.0,13.0
0.0,19.0
13.0,5.0
22.0,1.0
1.0,3.0
10.0,3.0
8.0,2.0
7.0,24.0
15.0,1.0
1.0,18.0
21.0,9.0
5.0,6.0
1.0,10.0
9.0,15.0
13.0,5.0
11.0,9.0
10.0,11.0
15.0,22.0
20.0,16.0
3.0,1.0
22.0,23.0
16.0,18.0
1.0,12.0
7.0,7.0
12.0,1.0
21.0,1.0
1.0,15.0
18.0,13.0
0.0,3.0
1.0,3.0
5.0,15.0
23.0,3.0
23.0,5.0
0.0,0.0
7.0,7.0
3.0,1.0
13.0,3.0
3.0,1.0
1.0,16.0
1.0,1.0
9.0,10.0
3.0,3.0
0.0,23.0
1.0,11.0
5.0,1.0
5.0,23.0
19.0,1.0
21.0,8.0
1.0,21.0
0.0,3.0
7.0,7.0
1.0,9.0
11.0,5.0
1.0,1.0
18.0,8.0
0.0,18.0
15.0,3.0
5.0,1.0
1.0,1.0
4.0,20.0
1.0,15.0
23.0,2.0
0.0,6.0
20.0,15.0
14.0,21.0
21.0,7.0
2.0,22.0
1.0,1.0
2.0,4.0
0.0,13.0
1.0,15.0
22.0,2.0
1.0,1.0
7.0,7.0
22.0,1.0
15.0,23.0
22.0,8.0
2.0,3.0
7.0,11.0
5.0,3.0
1.0,1.0
8.0,4.0
22.0,8.0
21.0,14.0
1.0,1.0
3.0,15.0
7.0,7.0
11.0,21.0
7.0,7.0
1.0,15.0
5.0,7.0
1.0,1.0
23.0,16.0
5.0,4.0
1.0,1.0
1.0,19.0
1.0,9.0
3.0,1.0
9.0,1.0
9.0,0.0
1.0,17.0
11.0,21.0
18.0,13.0
1.0,22.0
1.0,1.0
3.0,21.0
3.0,2.0
3.0,3.0
23.0,5.0
7.0,7.0
0.0,9.0
8.0,1.0
1.0,1.0
1.0,3.0
9.0,20.0
6.0,23.0
18.0,1.0
10.0,5.0
3.0,3.0
9.0,3.0
19.0,23.0
10.0,11.0
7.0,7.0
1.0,1.0
9.0,7.0
5.0,17.0
9.0,7.0
9.0,3.0
18.0,7.0
16.0,4.0
7.0,23.0
10.0,1.0
3.0,10.0
1.0,9.0
11.0,3.0
1.0,5.0
10.0,1.0
1.0,1.0
1.0,3.0
11.0,5.0
15.0,7.0
1.0,1.0
1.0,9.0
1.0,13.0
22.0,5.0
0.0,3.0
15.0,14.0
1.0,5.0
1.0,3.0
1.0,24.0
21.0,11.0
11.0,3.0
15.0,1.0
3.0,3.0
1.0,1.0
20.0,1.0
9.0,1.0
3.0,1.0
3.0,15.0
7.0,13.0
15.0,3.0
1.0,1.0
7.0,3.0
3.0,7.0
1.0,9.0
1.0,17.0
5.0,9.0
22.0,22.0
2.0,5.0
0.0,13.0
1.0,3.0
8.0,5.0
1.0,19.0
15.0,1.0
1.0,1.0
1.0,1.0
11.0,1.0
21.0,19.0
1.0,15.0
1.0,3.0
1.0,7.0
1.0,3.0
10.0,5.0
2.0,6.0
13.0,13.0
1.0,19.0
3.0,0.0
1.0,1.0
5.0,18.0
7.0,7.0
21.0,12.0
3.0,3.0
2.0,7.0
23.0,22.0
11.0,9.0
1.0,20.0
7.0,7.0
12.0,0.0
1.0,15.0
9.0,5.0
9.0,7.0
15.0,19.0
11.0,3.0
15.0,10.0
16.0,2.0
14.0,21.0
1.0,1.0
1.0,1.0
1.0,21.0
12.0,3.0
22.0,7.0
5.0,11.0
8.0,13.0
11.0,19.0
1.0,17.0
23.0,1.0
3.0,21.0
1.0,1.0
1.0,1.0
