0.30337078651685395
5.0,5.0
3.0,0.0
5.0,7.0
1.0,11.0
1.0,1.0
13.0,9.0
1.0,1.0
5.0,5.0
5.0,3.0
3.0,14.0
1.0,11.0
2.0,6.0
1.0,1.0
1.0,1.0
1.0,14.0
13.0,8.0
3.0,3.0
3.0,9.0
1.0,15.0
21.0,15.0
1.0,10.0
7.0,16.0
3.0,7.0
1.0,1.0
13.0,5.0
5.0,13.0
1.0,1.0
5.0,15.0
1.0,10.0
1.0,1.0
1.0,1.0
7.0,1.0
3.0,0.0
1.0,1.0
1.0,3.0
2.0,22.0
0.0,16.0
1.0,17.0
1.0,12.0
3.0,20.0
1.0,3.0
7.0,7.0
3.0,3.0
3.0,4.0
7.0,1.0
3.0,8.0
1.0,1.0
1.0,1.0
9.0,13.0
6.0,19.0
5.0,5.0
1.0,1.0
1.0,3.0
1.0,3.0
2.0,2.0
1.0,24.0
7.0,1.0
7.0,18.0
3.0,9.0
5.0,6.0
15.0,10.0
0.0,15.0
16.0,5.0
1.0,9.0
1.0,11.0
1.0,22.0
23.0,16.0
15.0,1.0
16.0,23.0
13.0,18.0
1.0,12.0
7.0,7.0
3.0,1.0
3.0,1.0
1.0,15.0
9.0,13.0
0.0,3.0
1.0,3.0
1.0,15.0
1.0,3.0
3.0,5.0
3.0,0.0
15.0,7.0
1.0,1.0
8.0,3.0
3.0,1.0
7.0,16.0
1.0,1.0
7.0,10.0
3.0,3.0
3.0,23.0
1.0,11.0
1.0,1.0
3.0,23.0
1.0,1.0
9.0,8.0
1.0,21.0
3.0,3.0
7.0,7.0
1.0,9.0
1.0,5.0
1.0,1.0
3.0,8.0
3.0,18.0
1.0,3.0
1.0,1.0
1.0,1.0
3.0,20.0
1.0,15.0
13.0,2.0
22.0,6.0
15.0,15.0
3.0,21.0
3.0,7.0
2.0,22.0
1.0,1.0
7.0,4.0
3.0,13.0
1.0,15.0
22.0,2.0
1.0,1.0
1.0,7.0
1.0,1.0
7.0,23.0
5.0,8.0
3.0,3.0
1.0,11.0
3.0,3.0
1.0,1.0
4.0,4.0
5.0,8.0
21.0,14.0
1.0,1.0
1.0,15.0
1.0,7.0
1.0,21.0
15.0,7.0
1.0,15.0
3.0,7.0
1.0,1.0
2.0,16.0
3.0,4.0
1.0,1.0
7.0,19.0
1.0,9.0
1.0,1.0
1.0,1.0
9.0,0.0
1.0,17.0
3.0,21.0
3.0,13.0
1.0,22.0
1.0,1.0
1.0,21.0
3.0,2.0
5.0,3.0
2.0,5.0
7.0,7.0
13.0,9.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,20.0
2.0,23.0
7.0,1.0
3.0,5.0
3.0,3.0
16.0,3.0
1.0,23.0
1.0,11.0
7.0,7.0
7.0,1.0
5.0,7.0
5.0,17.0
1.0,7.0
3.0,3.0
7.0,7.0
23.0,4.0
23.0,23.0
1.0,1.0
3.0,10.0
1.0,9.0
1.0,3.0
11.0,5.0
7.0,1.0
1.0,1.0
1.0,3.0
1.0,5.0
1.0,7.0
1.0,1.0
1.0,9.0
1.0,13.0
5.0,5.0
3.0,3.0
14.0,14.0
3.0,5.0
3.0,3.0
3.0,24.0
11.0,11.0
1.0,3.0
1.0,1.0
9.0,3.0
1.0,1.0
3.0,1.0
1.0,1.0
1.0,1.0
3.0,15.0
7.0,13.0
3.0,3.0
1.0,1.0
1.0,3.0
3.0,7.0
3.0,9.0
1.0,17.0
3.0,9.0
2.0,22.0
0.0,5.0
20.0,13.0
3.0,3.0
9.0,5.0
1.0,19.0
1.0,1.0
7.0,1.0
1.0,1.0
1.0,1.0
1.0,19.0
3.0,15.0
1.0,3.0
7.0,7.0
1.0,3.0
3.0,5.0
6.0,6.0
5.0,13.0
1.0,19.0
3.0,0.0
1.0,1.0
3.0,18.0
7.0,7.0
3.0,12.0
3.0,3.0
13.0,7.0
22.0,22.0
3.0,9.0
7.0,20.0
3.0,7.0
9.0,0.0
14.0,15.0
1.0,5.0
1.0,7.0
14.0,19.0
3.0,3.0
7.0,10.0
16.0,2.0
3.0,21.0
1.0,1.0
1.0,1.0
1.0,21.0
9.0,3.0
1.0,7.0
7.0,11.0
3.0,13.0
3.0,19.0
1.0,17.0
10.0,1.0
3.0,21.0
1.0,1.0
1.0,1.0
